id;route_long_name;stop_id;stop_name;stop_lon;stop_lat;operatorname;shortname;mode;pointgeo;nom_commune;code_insee;
IDFM:C01372;2;IDFM:463252;Place de Clichy;2.3278987090661456;48.88374519677981;RATP;2;Metro;48.88374519677981, 2.3278987090661456;Paris;75056;0
IDFM:C01372;2;IDFM:463256;Porte Dauphine;2.2778093495879346;48.8717351159749;RATP;2;Metro;48.8717351159749, 2.2778093495879346;Paris;75056;0
IDFM:C01372;2;IDFM:22110;Rome;2.3214039779193896;48.882256139435015;RATP;2;Metro;48.882256139435015, 2.3214039779193896;Paris;75056;0
IDFM:C01372;2;IDFM:463009;Stalingrad;2.3657743705581695;48.88432054886986;RATP;2;Metro;48.88432054886986, 2.3657743705581695;Paris;75056;0
IDFM:C01372;2;IDFM:463266;Ternes;2.2981132886172433;48.878227730862385;RATP;2;Metro;48.878227730862385, 2.2981132886172433;Paris;75056;0
IDFM:C01372;2;IDFM:463322;Victor Hugo;2.2858287659129797;48.869926082410636;RATP;2;Metro;48.869926082410636, 2.2858287659129797;Paris;75056;0
IDFM:C01372;2;IDFM:22106;Villiers;2.3157165772440385;48.88130644704797;RATP;2;Metro;48.88130644704797, 2.3157165772440385;Paris;75056;0
IDFM:C01373;3;IDFM:22036;Anatole France;2.2849816963403193;48.892206617614;RATP;3;Metro;48.892206617614, 2.2849816963403193;Levallois-Perret;92044;0
IDFM:C01373;3;IDFM:21994;Arts et Métiers;2.3567233472754983;48.86553459885931;RATP;3;Metro;48.86553459885931, 2.3567233472754983;Paris;75056;0
IDFM:C01373;3;IDFM:463090;Bourse;2.3406519668083314;48.868738736969725;RATP;3;Metro;48.868738736969725, 2.3406519668083314;Paris;75056;0
IDFM:C01373;3;IDFM:22032;Europe;2.3222946416498362;48.878780759649736;RATP;3;Metro;48.878780759649736, 2.3222946416498362;Paris;75056;0
IDFM:C01373;3;IDFM:22037;Gallieni;2.4159299613832097;48.86512770051251;RATP;3;Metro;48.86512770051251, 2.4159299613832097;Bagnolet;93006;0
IDFM:C01373;3;IDFM:462991;Gambetta;2.3973588775666475;48.86497267606974;RATP;3;Metro;48.86497267606974, 2.3973588775666475;Paris;75056;0
IDFM:C01373;3;IDFM:21906;Havre-Caumartin;2.3274627984235092;48.87346783937801;RATP;3;Metro;48.87346783937801, 2.3274627984235092;Paris;75056;0
IDFM:C01373;3;IDFM:463210;Louise Michel;2.2881680068067354;48.88849338167193;RATP;3;Metro;48.88849338167193, 2.2881680068067354;Levallois-Perret;92044;0
IDFM:C01373;3;IDFM:463068;Malesherbes;2.309487846960011;48.88284002257779;RATP;3;Metro;48.88284002257779, 2.309487846960011;Paris;75056;0
IDFM:C01373;3;IDFM:463246;Opéra;2.331128974301561;48.87150983278418;RATP;3;Metro;48.87150983278418, 2.331128974301561;Paris;75056;0
IDFM:C01373;3;IDFM:22019;Parmentier;2.3747205969196896;48.86524326053047;RATP;3;Metro;48.86524326053047, 2.3747205969196896;Paris;75056;0
IDFM:C01373;3;IDFM:22020;Père Lachaise;2.386157046298338;48.86296417435419;RATP;3;Metro;48.86296417435419, 2.386157046298338;Paris;75056;0
IDFM:C01373;3;IDFM:463228;Pereire;2.297701123838181;48.884929864637186;RATP;3;Metro;48.884929864637186, 2.297701123838181;Paris;75056;0
IDFM:C01373;3;IDFM:22035;Pont de Levallois - Bécon;2.2801801985017236;48.89718710383118;RATP;3;Metro;48.89718710383118, 2.2801801985017236;Levallois-Perret;92044;0
IDFM:C01373;3;IDFM:22022;Porte de Bagnolet;2.4088234090802456;48.86432836987192;RATP;3;Metro;48.86432836987192, 2.4088234090802456;Paris;75056;0
IDFM:C01373;3;IDFM:463258;Porte de Champerret;2.2921124821588448;48.885652393133846;RATP;3;Metro;48.885652393133846, 2.2921124821588448;Paris;75056;0
IDFM:C01373;3;IDFM:22024;Quatre Septembre;2.3362786423248583;48.86959592111917;RATP;3;Metro;48.86959592111917, 2.3362786423248583;Paris;75056;0
IDFM:C01373;3;IDFM:22018;Réaumur - Sébastopol;2.3520507871028355;48.86638175675157;RATP;3;Metro;48.86638175675157, 2.3520507871028355;Paris;75056;0
IDFM:C01373;3;IDFM:21902;République;2.364283168306328;48.86712186124499;RATP;3;Metro;48.86712186124499, 2.364283168306328;Paris;75056;0
IDFM:C01373;3;IDFM:463297;Rue Saint-Maur;2.3804600339610773;48.86405000324374;RATP;3;Metro;48.86405000324374, 2.3804600339610773;Paris;75056;0
IDFM:C01373;3;IDFM:462971;Saint-Lazare;2.3244924701707954;48.87496650103443;RATP;3;Metro;48.87496650103443, 2.3244924701707954;Paris;75056;0
IDFM:C01373;3;IDFM:462986;Sentier;2.3475137108219895;48.86728343166051;RATP;3;Metro;48.86728343166051, 2.3475137108219895;Paris;75056;0
IDFM:C01373;3;IDFM:463316;Temple;2.3615893783321895;48.86668483219092;RATP;3;Metro;48.86668483219092, 2.3615893783321895;Paris;75056;0
IDFM:C01373;3;IDFM:462987;Villiers;2.3157901685080926;48.881153980760416;RATP;3;Metro;48.881153980760416, 2.3157901685080926;Paris;75056;0
IDFM:C01373;3;IDFM:463070;Wagram;2.304673087584434;48.8838463907272;RATP;3;Metro;48.8838463907272, 2.304673087584434;Paris;75056;0
IDFM:C01374;4;IDFM:22154;Alésia;2.3270932349484528;48.82820106421924;RATP;4;Metro;48.82820106421924, 2.3270932349484528;Paris;75056;0
IDFM:C01374;4;IDFM:483423;Bagneux - Lucie Aubrac;2.317499440854107;48.80353046920307;RATP;4;Metro;48.80353046920307, 2.317499440854107;Bagneux;92007;0
IDFM:C01374;4;IDFM:483313;Barbara;2.3174174096489284;48.8097987811254;RATP;4;Metro;48.8097987811254, 2.3174174096489284;Bagneux;92007;0
IDFM:C01374;4;IDFM:22130;Barbès - Rochechouart;2.349629927853002;48.883402060486226;RATP;4;Metro;48.883402060486226, 2.349629927853002;Paris;75056;0
IDFM:C01374;4;IDFM:22153;Château d'Eau;2.3560517414015862;48.87244691759551;RATP;4;Metro;48.87244691759551, 2.3560517414015862;Paris;75056;0
IDFM:C01374;4;IDFM:22152;Château Rouge;2.3495819680256593;48.887241930648955;RATP;4;Metro;48.887241930648955, 2.3495819680256593;Paris;75056;0
IDFM:C01374;4;IDFM:22092;Châtelet;2.3466414308440138;48.859661211559086;RATP;4;Metro;48.859661211559086, 2.3466414308440138;Paris;75056;0
IDFM:C01374;4;IDFM:22150;Cité;2.3472322349319112;48.85493384910671;RATP;4;Metro;48.85493384910671, 2.3472322349319112;Paris;75056;0
IDFM:C01374;4;IDFM:463104;Denfert-Rochereau;2.332018835216387;48.83394869369227;RATP;4;Metro;48.83394869369227, 2.332018835216387;Paris;75056;0
IDFM:C01374;4;IDFM:463171;Etienne Marcel;2.3489761968791085;48.86370301202431;RATP;4;Metro;48.86370301202431, 2.3489761968791085;Paris;75056;0
IDFM:C01374;4;IDFM:22148;Gare de l'Est;2.3577495818204395;48.87627821831841;RATP;4;Metro;48.87627821831841, 2.3577495818204395;Paris;75056;0
IDFM:C01374;4;IDFM:22149;Gare du Nord;2.356768884572096;48.879510553130615;RATP;4;Metro;48.879510553130615, 2.356768884572096;Paris;75056;0
IDFM:C01374;4;IDFM:22146;Les Halles;2.34600573656331;48.86252665962869;RATP;4;Metro;48.86252665962869, 2.34600573656331;Paris;75056;0
IDFM:C01374;4;IDFM:463222;Mairie de Montrouge;2.3196193991237846;48.818454456190004;RATP;4;Metro;48.818454456190004, 2.3196193991237846;Montrouge;92049;0
IDFM:C01374;4;IDFM:462974;Marcadet - Poissonniers;2.3495451670385634;48.89127969913649;RATP;4;Metro;48.89127969913649, 2.3495451670385634;Paris;75056;0
IDFM:C01374;4;IDFM:462996;Montparnasse Bienvenue;2.3243858698057784;48.84391578859517;RATP;4;Metro;48.84391578859517, 2.3243858698057784;Paris;75056;0
IDFM:C01374;4;IDFM:22144;Mouton-Duvernet;2.32979034782274;48.831382009093616;RATP;4;Metro;48.831382009093616, 2.32979034782274;Paris;75056;0
IDFM:C01374;4;IDFM:462995;Odéon;2.3395157696170745;48.852175453081486;RATP;4;Metro;48.852175453081486, 2.3395157696170745;Paris;75056;0
IDFM:C01374;4;IDFM:22140;Porte d'Orléans;2.3254932653821045;48.823416351140224;RATP;4;Metro;48.823416351140224, 2.3254932653821045;Paris;75056;0
IDFM:C01374;4;IDFM:463073;Porte de Clignancourt;2.344624099102791;48.897525631278015;RATP;4;Metro;48.897525631278015, 2.344624099102791;Paris;75056;0
IDFM:C01374;4;IDFM:463291;Raspail;2.3307802165662403;48.83910415024143;RATP;4;Metro;48.83910415024143, 2.3307802165662403;Paris;75056;0
IDFM:C01374;4;IDFM:463072;Réaumur - Sébastopol;2.352381731140252;48.866077771215046;RATP;4;Metro;48.866077771215046, 2.352381731140252;Paris;75056;0
IDFM:C01374;4;IDFM:22136;Saint-Germain-des-Prés;2.333947810798194;48.85357456382241;RATP;4;Metro;48.85357456382241, 2.333947810798194;Paris;75056;0
IDFM:C01374;4;IDFM:22137;Saint-Michel;2.343964657062377;48.85358493521485;RATP;4;Metro;48.85358493521485, 2.343964657062377;Paris;75056;0
IDFM:C01374;4;IDFM:463308;Saint-Placide;2.327054815066312;48.84700665158937;RATP;4;Metro;48.84700665158937, 2.327054815066312;Paris;75056;0
IDFM:C01374;4;IDFM:22139;Saint-Sulpice;2.330611953081543;48.85120862756671;RATP;4;Metro;48.85120862756671, 2.330611953081543;Paris;75056;0
IDFM:C01374;4;IDFM:22133;Simplon;2.347794968187123;48.8938152613519;RATP;4;Metro;48.8938152613519, 2.347794968187123;Paris;75056;0
IDFM:C01374;4;IDFM:463313;Strasbourg - Saint-Denis;2.3543411093711257;48.86966773787259;RATP;4;Metro;48.86966773787259, 2.3543411093711257;Paris;75056;0
IDFM:C01374;4;IDFM:463016;Vavin;2.3288628540691043;48.84205232329236;RATP;4;Metro;48.84205232329236, 2.3288628540691043;Paris;75056;0
IDFM:C01375;5;IDFM:22010;Bastille;2.368922075646989;48.85328747830434;RATP;5;Metro;48.85328747830434, 2.368922075646989;Paris;75056;0
IDFM:C01375;5;IDFM:463131;Bobigny Pablo Picasso;2.4493013366465726;48.906366795030564;RATP;5;Metro;48.906366795030564, 2.4493013366465726;Bobigny;93008;0
IDFM:C01375;5;IDFM:463002;Bobigny-Pantin - Raymond Queneau;2.426277595760804;48.89563789793626;RATP;5;Metro;48.89563789793626, 2.426277595760804;Bobigny;93008;0
IDFM:C01375;5;IDFM:22008;Bréguet-Sabin;2.3701946685897517;48.85624405468632;RATP;5;Metro;48.85624405468632, 2.3701946685897517;Paris;75056;0
IDFM:C01375;5;IDFM:22009;Campo-Formio;2.358468834639247;48.835595431233266;RATP;5;Metro;48.835595431233266, 2.358468834639247;Paris;75056;0
IDFM:C01375;5;IDFM:22016;Église de Pantin;2.413119553706935;48.893163974098265;RATP;5;Metro;48.893163974098265, 2.413119553706935;Pantin;93055;0
IDFM:C01375;5;IDFM:463023;Gare d'Austerlitz;2.3654431802574227;48.842395852858516;RATP;5;Metro;48.842395852858516, 2.3654431802574227;Paris;75056;0
IDFM:C01375;5;IDFM:463021;Gare de l'Est;2.357982972943156;48.876081616617256;RATP;5;Metro;48.876081616617256, 2.357982972943156;Paris;75056;0
IDFM:C01375;5;IDFM:22007;Gare du Nord;2.3572164888604563;48.87970181695894;RATP;5;Metro;48.87970181695894, 2.3572164888604563;Paris;75056;0
IDFM:C01375;5;IDFM:22017;Hoche;2.4032119887626737;48.89128939386479;RATP;5;Metro;48.89128939386479, 2.4032119887626737;Pantin;93055;0
IDFM:C01375;5;IDFM:22011;Jacques Bonsergent;2.3611315892483544;48.870666468034706;RATP;5;Metro;48.870666468034706, 2.3611315892483544;Paris;75056;0
IDFM:C01375;5;IDFM:463095;Jaurès;2.371383333112514;48.88311355416086;RATP;5;Metro;48.88311355416086, 2.371383333112514;Paris;75056;0
IDFM:C01375;5;IDFM:22012;Laumière;2.3793909893523923;48.88513384808583;RATP;5;Metro;48.88513384808583, 2.3793909893523923;Paris;75056;0
IDFM:C01375;5;IDFM:21905;Oberkampf;2.3685262686038397;48.864581198067484;RATP;5;Metro;48.864581198067484, 2.3685262686038397;Paris;75056;0
IDFM:C01375;5;IDFM:463027;Ourcq;2.386652016759884;48.88691595319499;RATP;5;Metro;48.88691595319499, 2.386652016759884;Paris;75056;0
